gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,identifiedBy,dateIdentified,recordedBy
2236067632,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium densinervium,SPECIES,PH,"Camp Keithley, Lake Lanao, Mindanao.",,,5418846,3182625,PRESERVED_SPECIMEN,US,,,M. S. Clemens
2236067316,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium claviflorum,SPECIES,PH,"Philippine Islands, Irosin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.",,,5419012,3183120,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236066844,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Osbeckia,Osbeckia chinensis,SPECIES,PH,Novaliches. Luzon central.,Central Luzon,,3866460,3866460,PRESERVED_SPECIMEN,US,,,A. Loher
2236066665,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Memecylon,Memecylon paniculatum,SPECIES,PH,"San Andales, Rizal Province, Luzon.",Calabarzon,,3864813,3864813,PRESERVED_SPECIMEN,US,,,G. Edaño
2236066599,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia foetidissima,SPECIES,PH,"Lamao River, Mt. Mariveles, Province of Bataan, Luzon.",Cagayan Valley,,3699146,3699312,PRESERVED_SPECIMEN,US,,,T. E. Borden
2236066501,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium claviflorum,SPECIES,PH,"Lamao River, Mt. Mariveles. Province of Bataan, Luzon.",,,5419012,3183120,PRESERVED_SPECIMEN,US,,,R. Meyer
2236066456,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,Lagerstroemia speciosa,SPECIES,PH,"Province of Rizal, Luzon.",,,3188724,3188724,PRESERVED_SPECIMEN,US,,,M. Ramos
2236066269,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastoma,Melastoma malabathricum,SPECIES,PH,"Lamao River, Mt. Mariveles, Province of Bataan, Luzon.",Central Luzon,,3188511,3188511,PRESERVED_SPECIMEN,US,,,H. N. Whitford
2236066144,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium lineatum,SPECIES,PH,"Philippine Islands, Los Baños (Mt. Maquiling), Province of Laguna, Island of Luzon.",,,5418963,3182969,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236065847,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Osbeckia,Osbeckia chinensis,SPECIES,PH,"Vicinity of Tanculan, Bukidnon Subprovince, Mindanao.",Northern Mindanao,,3866460,3866460,PRESERVED_SPECIMEN,US,,,E. Fénix
2236065655,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia pulchra,SPECIES,PH,"Sorsogon Prov., Luzon.",Bicol,,5601349,5601349,PRESERVED_SPECIMEN,US,,,H. M. Curran
2236065207,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,,GENUS,PH,Samar.,Eastern Visayas,,3029010,,PRESERVED_SPECIMEN,US,,,P. Lasquety
2236064558,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia pulchra,SPECIES,PH,"Dumaguete (Cuernos Mts.), Province of Negros Oriental, Island of Negros.",Central Visayas,,5601349,5601349,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236064367,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Sonneratia,Sonneratia alba,SPECIES,PH,Island of Masbate.,Bicol,,5635566,5406998,PRESERVED_SPECIMEN,US,,,E. D. Merrill
2236064346,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Osbeckia,Osbeckia stellata,SPECIES,PH,"Philippine Islands. Todaya (Mt. Apo), District of Davao. Island of Mindanao.",Davao,,7685333,7541996,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236063955,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia microcarpa,SPECIES,PH,"Province of Cagayan, Luzon.",,,8339362,7327140,PRESERVED_SPECIMEN,US,,,A. Bernardo
2236063896,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus deglupta,SPECIES,PH,Dist of Zamboanga. Mindanao.,,1912-10-03 0:00:00,3176325,3176325,PRESERVED_SPECIMEN,US,,,L. Stadtmiller
2236063706,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla coronata,SPECIES,PH,"Benguet Subprovince, Luzon.",Cordillera (Administrative Region),,3867817,3867817,PRESERVED_SPECIMEN,US,,,E. D. Merrill
2236063481,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium tripinnatum,SPECIES,PH,"Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.",,,5418988,3183057,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236063010,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia microcarpa,SPECIES,PH,"Province of Tayabas, Luzon.",,,8339362,7327140,PRESERVED_SPECIMEN,US,,,E. Duldulao
2236062891,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Xanthostemon,Xanthostemon verdugonianus,SPECIES,PH,Small islands off Mindanao.,,,3180781,3180781,PRESERVED_SPECIMEN,US,,,D. Burke
2236062388,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,,GENUS,PH,"San Isidro, Prov. of Rizal, Luzon.",,,3029010,,PRESERVED_SPECIMEN,US,,,M. Ramos
2236062278,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia williamsii,SPECIES,PH,"Island or Province Sorsogon, along Bulusan Lake.",Bicol,1962-03-12 0:00:00,3869125,3869125,PRESERVED_SPECIMEN,US,,,J. Pancho
2236061908,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,Lagerstroemia indica,SPECIES,PH,"Province of Cagayan, Luzon.",,,3188725,3188725,PRESERVED_SPECIMEN,US,,,E. Castillo
2236061651,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium subsessiliflorum,SPECIES,PH,Province of Cagayan. Luzon.,,,5418939,3182906,PRESERVED_SPECIMEN,US,,,N. Penas
2236061212,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla whitfordii,SPECIES,PH,"Mayon Volcano, Albay Province, Luzon.",Bicol,,3864035,3864035,PRESERVED_SPECIMEN,US,,,D. Mendoza
