gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3462112305,dce00a1f-f6b4-4e11-9771-92c62c40ad80,b9a29617-9eb7-405a-8a4f-4058d1966dca,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351702,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:02,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462110308,dce00a1f-f6b4-4e11-9771-92c62c40ad80,f7ee4d1e-c900-4da5-bde6-0b60c84ee736,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351705,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:02,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462110306,dce00a1f-f6b4-4e11-9771-92c62c40ad80,9539ad03-6690-4335-a1f6-c38812c19935,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pasiagan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.0171,119.74993,,,,,,,8/7/21 00:00,7,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351722,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462110304,dce00a1f-f6b4-4e11-9771-92c62c40ad80,6d4d75a6-f0a5-4024-99a9-3195e54e80cb,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351697,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462110301,dce00a1f-f6b4-4e11-9771-92c62c40ad80,09dea2e0-6576-4d8d-8b85-74a269d1d6bd,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Lapid-Lapid,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.10361,119.837296,,,,,,,8/5/21 00:00,5,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351714,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462107307,dce00a1f-f6b4-4e11-9771-92c62c40ad80,e5f85731-ef86-4c97-af2e-aa51dc72b946,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351698,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462107302,dce00a1f-f6b4-4e11-9771-92c62c40ad80,6e18f2a3-d84a-434a-ab2a-f835559d66cd,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pasiagan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.0171,119.74993,,,,,,,8/7/21 00:00,7,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351720,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462105305,dce00a1f-f6b4-4e11-9771-92c62c40ad80,b6ac470a-6732-408e-a5f1-7609c3012ff4,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Tubig Indangan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,4.88819,119.79394,,,,,,,8/1/21 00:00,1,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351710,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462105304,dce00a1f-f6b4-4e11-9771-92c62c40ad80,ac68279e-e52a-490f-bf23-4b83f2fc217e,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pasiagan,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.0171,119.74993,,,,,,,8/7/21 00:00,7,8,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351721,,,,CC_BY_4_0,,"Realubit, Nikki",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
3462104303,dce00a1f-f6b4-4e11-9771-92c62c40ad80,83776840-7341-4308-ab38-0ceb880962ae,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates macrotis,,SPECIES,"Polypedates macrotis (Boulenger, 1891)",Polypedates cf. macrotis,,PH,Pababag,Tawi-Tawi,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,5.03123,119.79285,,,,,,,7/28/21 00:00,28,7,2021,2423792,2423792,PRESERVED_SPECIMEN,KU,KUH,351699,,,,CC_BY_4_0,,"Realubit, Nikki; Fernandez, Jason; Kim, Paulo; Ballon, Abdel-Aziz; Lucanas, Cristian",,,2/3/22 20:01,,GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
